Code,Year,GDP 2015 PPP,GDP 2022 (2015 USD PPP),GDP 2022 (2017 USD PPP),Multiplier
MMR,1979,20156759307.94293,63341396862.698944,230255340470.1504,3.635147816036644
NAM,1979,0.0,11508641306.115656,25061165436.075184,2.1775954927674874
NRU,1979,0.0,109473838.3484576,139656376.97842604,1.2757054935252818
NPL,1979,19662663169.619938,33084084558.221825,122242249503.50688,3.6948959336741902
NLD,1979,431507865480.6689,894727808846.0239,1048768438652.2655,1.1721647950172864
NZL,1979,76280963247.19441,218076245422.57425,231534059956.43295,1.0617115106130932
NIC,1979,15798271980.066584,14728688609.737885,40455994652.237976,2.7467479097555545
NER,1979,9288553567.617798,14294168692.46473,33405781443.63323,2.3370216318521075
NGA,1979,312296421313.9843,535335926240.9961,1084655070144.4226,2.026120454423108
MKD,1979,0.0,11318055634.985886,35245490780.05232,3.1140941445015504
NOR,1979,133115833784.8796,433527994213.08246,367243687581.4444,0.8471048986076346
OMN,1979,21953485405.83162,86294680434.92406,161712160334.0003,1.8739528267440488
PAK,1979,172751224282.66544,399948712614.34515,1268022466678.0242,3.170462678550308
PAN,1979,21207210815.179474,67839490712.89425,146657957753.75363,2.161837540532691
PNG,1979,10148939568.956415,24976697194.942936,38064690768.172676,1.524008177345389
PRY,1979,21452568500.18534,41995687741.537224,91752936736.62402,2.184818053256281
PER,1979,120982900181.3376,223193723424.57364,433925987925.5163,1.9441675207867473
PHL,1979,207469281232.10233,407690005744.9653,991720215100.66,2.4325350171106255
POL,1979,0.0,630289958880.488,1388423186501.7383,2.2028324693095787
PRT,1979,163281747907.03918,230324477738.9389,372331404762.8387,1.6165516076187847
PRI,1979,57893385152.82013,95855079058.75287,110500705571.58623,1.152789259125816
QAT,1979,0.0,170947179484.92123,260235088139.09518,1.5223128508069348
ROU,1979,0.0,232157182662.58286,618949874244.5857,2.666081088450178
RUS,1979,0.0,1471544636157.8418,4027358046152.418,2.7368235710931113
RWA,1979,5126898334.359652,12955125582.596163,32579162569.825268,2.5147701087198966
WSM,1979,0.0,798752767.8644394,1146517103.8195064,1.4353842014029652
STP,1979,0.0,317230918.72276026,781927947.0127091,2.46485415154651
SAU,1979,772969824488.3584,769633172339.6715,1827296689345.5232,2.374243672203698
SEN,1979,13843533394.390604,25370428994.03066,61726701334.17512,2.4330176422597596
SRB,1979,0.0,49937794675.51316,139192939447.1934,2.787326519956361
SYC,1979,801695262.7018127,1733621174.5045874,3021613254.5143075,1.7429489780994318
SLE,1979,5412750485.10619,5394942200.073128,14068316520.035414,2.6076862361648137
SGP,1979,49062630259.845665,379708617460.4041,609001934463.2896,1.603866508314882
SXM,1979,0.0,1361800684.8704658,1797170207.9567604,1.3197013541873104
SVK,1979,0.0,102540393597.41013,180204806885.07193,1.7574031126951262
SVN,1979,0.0,53538335168.05858,86623581475.20607,1.6179730132304604
SLB,1979,0.0,1371124331.1997523,1628009899.9771755,1.1873539568455072
SOM,1979,0.0,8958058841.87096,25490993073.982456,2.845593395171142
ZAF,1979,334574980443.33325,360706580601.809,807294933431.9226,2.238093167263591
ESP,1979,784359904376.0591,1323591183845.3113,1921788768753.8308,1.451950415059905
LKA,1979,43558337344.67575,88459606026.82028,270611247556.16,3.0591504949062593
KNA,1979,304738904.51797855,973556961.3050189,1371098512.8937802,1.408339283051164
LCA,1979,774427983.0006275,1942933249.240279,2715892140.5688806,1.3978309041913004
VCT,1979,440617463.4163713,879438071.1397102,1514793355.5781689,1.722455969656929
SDN,1979,54893309868.2225,78965707790.40533,167369383568.23056,2.1195198302087106
SUR,1979,6166063300.680997,4413928267.11963,9300027322.985222,2.1069729184915102
SWE,1979,231356726941.707,587578011005.7404,580550160212.7944,0.9880392889772771
CHE,1979,0.0,790318933740.3258,634296200128.2699,0.8025825689463741
TJK,1979,0.0,13499137004.28639,41177442708.066605,3.05037593847603
TZA,1979,0.0,67153889893.31218,166596826737.2505,2.4808216918174653
THA,1979,179386522251.27658,450139151522.5591,1255244370207.2144,2.788569636658914
TLS,1979,0.0,2161456464.502912,5288854109.593488,2.4468936554823504
TGO,1979,5484367062.82974,7859198717.657496,19491266573.464966,2.4800577353609032
TTO,1979,14401897732.564695,21672195440.796017,35666506450.514824,1.645726504633478
TUN,1979,31335385089.332584,48116779200.71249,130592428617.41312,2.7140725290997736
TUR,1979,419071525050.77905,1194401648109.1248,2817041474532.5967,2.3585378327234374
TKM,1979,0.0,46927329009.50038,94789611395.98215,2.019923430476772
TCA,1979,0.0,928828868.4682273,946892530.0118054,1.0194477822091896
TUV,1979,0.0,45116851.39841237,51937133.02909544,1.1511692731049727
UGA,1979,0.0,44147216889.61235,107732538124.33168,2.4403019196818425
UKR,1979,0.0,71962895140.23402,379892973994.65094,5.279011819276501
ARE,1979,158549623910.0161,431440812433.6535,707307425643.9161,1.6394077826206697
GBR,1979,1342762199166.9287,3209502458759.0024,3186978981257.067,0.9929822526103799
USA,1979,7306349821084.876,20926835050999.996,21538083666841.68,1.0292088418698782
URY,1979,32810375941.55316,62345533960.79237,83607423058.24643,1.3410330740101633
UZB,1979,0.0,123818743181.09424,287794613066.2836,2.32432187302501
VUT,1979,360141893.9474465,841659631.2980758,910266227.1427542,1.0815134685013557
VNM,1979,0.0,358918387605.51,1118989578143.1003,3.11767136147115
PSE,1979,0.0,15612500000.0,28861611581.9086,1.848622038873249
ZMB,1979,15403381101.499807,26185157462.015854,67376967415.2346,2.5730976608779805
ZWE,1979,15538563760.144915,21963674100.4816,36035044448.11649,1.6406655955310476
