Source,CodeNumeric,Year,CO2 Emission,Code
Coal,126,1952,3513219.0,KGZ
Coal,126,1953,3672681.0,KGZ
Coal,126,1954,3988122.0,KGZ
Coal,126,1955,4481522.0,KGZ
Coal,126,1956,4819414.0,KGZ
Coal,126,1957,5179842.0,KGZ
Coal,126,1958,5383557.0,KGZ
Coal,126,1959,5527638.0,KGZ
Coal,126,1960,5574155.0,KGZ
Coal,126,1961,5532316.0,KGZ
Coal,126,1962,5542233.0,KGZ
Coal,126,1963,5800403.0,KGZ
Coal,126,1964,6036785.0,KGZ
Coal,126,1965,6287008.0,KGZ
Coal,126,1966,6525518.0,KGZ
Coal,126,1967,6599520.0,KGZ
Coal,126,1968,6560604.0,KGZ
Coal,126,1969,6670381.0,KGZ
Coal,126,1970,7024264.0,KGZ
Coal,126,1971,7167256.0,KGZ
Coal,126,1972,7386826.0,KGZ
Coal,126,1973,7463388.0,KGZ
Coal,126,1974,7487190.0,KGZ
Coal,126,1975,7738256.0,KGZ
Coal,126,1976,7996978.0,KGZ
Coal,126,1977,8159374.0,KGZ
Coal,126,1978,8121588.0,KGZ
Coal,126,1979,8223444.0,KGZ
Coal,126,1980,8678378.0,KGZ
Coal,126,1981,7954026.0,KGZ
Coal,126,1982,8116845.0,KGZ
Coal,126,1983,8133210.0,KGZ
Coal,126,1984,8187276.0,KGZ
Coal,126,1985,9381197.0,KGZ
Coal,126,1986,10092366.0,KGZ
Coal,126,1987,10066125.0,KGZ
Coal,126,1988,8826604.0,KGZ
Coal,126,1989,8323722.0,KGZ
Coal,126,1990,7087929.0,KGZ
Coal,126,1991,6166632.0,KGZ
Coal,126,1992,3814224.0,KGZ
Coal,126,1993,3436832.0,KGZ
Coal,126,1994,3424220.0,KGZ
Coal,126,1995,1245760.0,KGZ
Coal,126,1996,1853984.0,KGZ
Coal,126,1997,1941920.0,KGZ
Coal,126,1998,1938256.0,KGZ
Coal,126,1999,1916272.0,KGZ
Coal,126,2000,1864976.0,KGZ
Coal,126,2001,1228607.0,KGZ
Coal,126,2002,1985888.0,KGZ
Coal,126,2003,2407248.0,KGZ
Coal,126,2004,2363280.0,KGZ
Coal,126,2005,2319312.0,KGZ
Coal,126,2006,2225552.0,KGZ
Coal,126,2007,2304656.0,KGZ
Coal,126,2008,3192892.0,KGZ
Coal,126,2009,2751664.0,KGZ
Coal,126,2010,2682048.0,KGZ
Coal,126,2011,2865248.0,KGZ
Coal,126,2012,4015744.2,KGZ
Coal,126,2013,3576064.0,KGZ
Coal,126,2014,4503056.0,KGZ
Coal,126,2015,4338176.0,KGZ
Coal,126,2016,3480800.0,KGZ
Coal,126,2017,3389200.0,KGZ
Coal,126,2018,4041391.8,KGZ
Coal,126,2019,3169360.0,KGZ
Coal,126,2020,3125244.0,KGZ
Coal,126,2021,3599533.0,KGZ
Coal,125,1955,0.0,LAO
Coal,125,1956,0.0,LAO
Coal,125,1957,0.0,LAO
Coal,125,1958,0.0,LAO
Coal,125,1959,0.0,LAO
Coal,125,1960,0.0,LAO
Coal,125,1961,0.0,LAO
Coal,125,1962,0.0,LAO
Coal,125,1963,0.0,LAO
Coal,125,1964,0.0,LAO
Coal,125,1965,0.0,LAO
Coal,125,1966,0.0,LAO
Coal,125,1967,0.0,LAO
Coal,125,1968,0.0,LAO
Coal,125,1969,0.0,LAO
Coal,125,1970,0.0,LAO
Coal,125,1971,0.0,LAO
Coal,125,1972,0.0,LAO
Coal,125,1973,0.0,LAO
Coal,125,1974,0.0,LAO
Coal,125,1975,0.0,LAO
Coal,125,1976,0.0,LAO
Coal,125,1977,0.0,LAO
Coal,125,1978,0.0,LAO
Coal,125,1979,0.0,LAO
Coal,125,1980,0.0,LAO
Coal,125,1981,0.0,LAO
Coal,125,1982,0.0,LAO
Coal,125,1983,0.0,LAO
Coal,125,1984,0.0,LAO
Coal,125,1985,0.0,LAO
Coal,125,1986,0.0,LAO
Coal,125,1987,3664.0,LAO
Coal,125,1988,3664.0,LAO
Coal,125,1989,3607.0,LAO
Coal,125,1990,3664.0,LAO
Coal,125,1991,3689.0,LAO
Coal,125,1992,7374.0,LAO
Coal,125,1993,14568.0,LAO
Coal,125,1994,18320.0,LAO
Coal,125,1995,21984.0,LAO
Coal,125,1996,51048.0,LAO
Coal,125,1997,95264.0,LAO
Coal,125,1998,69616.0,LAO
Coal,125,1999,14593.0,LAO
Coal,125,2000,40304.0,LAO
Coal,125,2001,51473.0,LAO
Coal,125,2002,80608.0,LAO
Coal,125,2003,102288.0,LAO
Coal,125,2004,120912.0,LAO
Coal,125,2005,135568.0,LAO
Coal,125,2006,186864.0,LAO
Coal,125,2007,212933.0,LAO
Coal,125,2008,296784.0,LAO
Coal,125,2009,352221.0,LAO
Coal,125,2010,637536.0,LAO
Coal,125,2011,751120.0,LAO
Coal,125,2012,784096.0,LAO
Coal,125,2013,1135840.0,LAO
Coal,125,2014,1189831.0,LAO
Coal,125,2015,5149553.0,LAO
Coal,125,2016,12014256.0,LAO
Coal,125,2017,14971989.0,LAO
Coal,125,2018,15417187.0,LAO
Coal,125,2019,14205328.0,LAO
Coal,125,2020,14911796.0,LAO
Coal,125,2021,15103899.0,LAO
Coal,122,1830,122.0,LVA
Coal,122,1831,147.0,LVA
Coal,122,1832,98.0,LVA
Coal,122,1833,122.0,LVA
Coal,122,1850,758.0,LVA
Coal,122,1855,2299.0,LVA
Coal,122,1858,3228.0,LVA
Coal,122,1859,3424.0,LVA
Coal,122,1860,4090.0,LVA
Coal,122,1861,5307.0,LVA
Coal,122,1862,4746.0,LVA
Coal,122,1863,4728.0,LVA
Coal,122,1864,5134.0,LVA
Coal,122,1865,4756.0,LVA
Coal,122,1866,17061.0,LVA
Coal,122,1867,19212.0,LVA
Coal,122,1868,14363.0,LVA
Coal,122,1869,20612.0,LVA
Coal,122,1870,22613.0,LVA
Coal,122,1871,32109.998,LVA
Coal,122,1872,32761.998,LVA
Coal,122,1873,27389.0,LVA
Coal,122,1874,31438.0,LVA
Coal,122,1875,33058.0,LVA
Coal,122,1876,37233.0,LVA
Coal,122,1877,32706.998,LVA
Coal,122,1878,44523.0,LVA
Coal,122,1879,41315.0,LVA
Coal,122,1880,49391.0,LVA
Coal,122,1881,44292.0,LVA
Coal,122,1882,45733.0,LVA
Coal,122,1883,53112.0,LVA
Coal,122,1884,41152.0,LVA
Coal,122,1885,39046.0,LVA
Coal,122,1886,39570.0,LVA
Coal,122,1887,34782.0,LVA
Coal,122,1888,34753.0,LVA
Coal,122,1889,40932.0,LVA
Coal,122,1890,42667.0,LVA
Coal,122,1891,41279.0,LVA
Coal,122,1892,44709.0,LVA
Coal,122,1893,51837.0,LVA
Coal,122,1894,60112.0,LVA
Coal,122,1895,55592.0,LVA
Coal,122,1896,58495.0,LVA
Coal,122,1897,68986.0,LVA
Coal,122,1898,76683.0,LVA
Coal,122,1899,98524.0,LVA
Coal,122,1900,107609.0,LVA
Coal,122,1901,98289.0,LVA
Coal,122,1902,97809.0,LVA
Coal,122,1903,105956.0,LVA
Coal,122,1904,127384.01,LVA
Coal,122,1905,140215.0,LVA
Coal,122,1906,160305.0,LVA
Coal,122,1907,190089.0,LVA
Coal,122,1908,192137.0,LVA
Coal,122,1909,200229.0,LVA
Coal,122,1910,186275.0,LVA
Coal,122,1911,210971.0,LVA
Coal,122,1912,263042.0,LVA
Coal,122,1913,313481.0,LVA
Coal,122,1914,251626.02,LVA
Coal,122,1915,196506.0,LVA
Coal,122,1916,208775.0,LVA
Coal,122,1917,199080.0,LVA
Coal,122,1918,74968.0,LVA
Coal,122,1919,43011.0,LVA
Coal,122,1920,41188.0,LVA
Coal,122,1921,51011.0,LVA
Coal,122,1922,61891.0,LVA
Coal,122,1923,67137.0,LVA
Coal,122,1924,93444.0,LVA
Coal,122,1925,84494.0,LVA
Coal,122,1926,150724.0,LVA
Coal,122,1927,193623.0,LVA
Coal,122,1928,236955.0,LVA
Coal,122,1929,225939.0,LVA
Coal,122,1930,221596.0,LVA
Coal,122,1931,263777.0,LVA
Coal,122,1932,363526.0,LVA
Coal,122,1933,451679.0,LVA
Coal,122,1934,579839.0,LVA
Coal,122,1935,699312.0,LVA
Coal,122,1936,835191.0,LVA
Coal,122,1937,837651.0,LVA
Coal,122,1938,879519.0,LVA
Coal,122,1939,894522.0,LVA
Coal,122,1940,1226570.0,LVA
Coal,122,1941,961269.0,LVA
Coal,122,1942,286554.0,LVA
Coal,122,1943,366925.0,LVA
