Code,Year,ConsumptionTotal,GDP 2015 PPP,IntensidadeEnergetica
KAZ,2002,423.9436180000001,190599159637.4926,2.224268033533378
KAZ,2003,464.690712,208324881484.42288,2.230605910771856
KAZ,2004,493.802612,228324070109.77847,2.1627269160127494
KAZ,2005,507.509015,250471504908.6616,2.0262145795190203
KAZ,2006,546.161736,277271955933.8884,1.969769117689726
KAZ,2007,605.148849,301949160011.988,2.004141521625609
KAZ,2008,638.146616,311913482293.02045,2.045909049229577
KAZ,2009,572.663992,315656444078.7548,1.814200225410646
KAZ,2010,614.387577,338699364506.9147,1.8139614105696293
KAZ,2011,697.246214,363763117485.31,1.9167589579175992
KAZ,2012,733.1697239999999,381223747107.4461,1.9232005602037152
KAZ,2013,736.4636530000001,404097171921.3538,1.8224914802010348
KAZ,2014,773.14573,421069253164.9511,1.836148624457092
KAZ,2015,642.193287,426122084205.1744,1.5070640804685191
KAZ,2016,721.4570550000001,430809427127.6036,1.6746547535189107
KAZ,2017,776.6764470000002,448472613650.92255,1.731825809110702
KAZ,2018,803.0811499999999,466859990779.65857,1.7201755683943922
KAZ,2019,814.015355,487868690369.0328,1.6685132107663312
KAZ,2020,751.3998049999999,475671973127.95575,1.5796596130289
KAZ,2021,814.7458270000001,496125867959.5888,1.6422159770680693
KAZ,2022,867.128876,512001895734.2957,1.6936048151860712
KOR,1965,74.817069,49421981594.53363,1.513841950203697
KOR,1966,90.7683386,55349632622.01748,1.639908601017405
KOR,1967,104.2845263,60375161493.17009,1.72727531853968
KOR,1968,119.5196483,68324015360.12047,1.749306560365911
KOR,1969,144.33154140000002,78272925778.40727,1.843952298507487
KOR,1970,167.4657953,86141495432.7958,1.944078106127728
KOR,1971,181.1901696,95225558507.72652,1.9027472502069744
KOR,1972,187.852882,102095473797.82253,1.8399726747142682
KOR,1973,232.337299,117305986902.7712,1.9806090476232234
KOR,1974,241.5696755,128463939331.66214,1.8804473594440134
KOR,1975,265.597128,138535426538.77106,1.9171784043677016
KOR,1976,297.13058099999995,156851815646.6522,1.8943394424541484
KOR,1977,341.64917053,176201027697.38644,1.9389737676034426
KOR,1978,382.7054004,195500301056.3783,1.9575693660422322
KOR,1979,441.151678,212452575374.0343,2.0764713123544327
KOR,1980,454.0319252999999,208956269599.29803,2.172856196995992
KOR,1981,475.3390537,224097609253.24475,2.1211250547650256
KOR,1982,475.54928000000007,242783042903.69077,1.9587417404132503
KOR,1983,517.044944,275258126355.5167,1.8784002886519588
KOR,1984,564.7121313,304302373896.4217,1.8557598617098414
KOR,1985,624.169513,328156223201.0918,1.902049904497814
KOR,1986,700.4699140999999,365327335735.0144,1.9173761325324885
KOR,1987,776.4874169999999,411810461161.6773,1.885545633808341
KOR,1988,866.7034486,461177127889.52026,1.8793287788713313
KOR,1989,942.221714,493795695477.1896,1.9081205499158207
KOR,1990,1066.036563,542570624549.052,1.96478857270612
KOR,1991,1205.614891,601049190991.0026,2.005850617671071
KOR,1992,1359.7162399999995,638306083382.9897,2.1301947065795965
KOR,1993,1491.0802869999998,682205419129.4812,2.185676403600945
KOR,1994,1607.9749589999997,745436763166.872,2.1570910350178716
KOR,1995,1756.9393519999996,817107268226.5016,2.1501942527244506
KOR,1996,1940.434247,881582778617.4926,2.2010800279504203
KOR,1997,2131.122764,935981306155.8716,2.2768860339237356
KOR,1998,1948.723682,887970630220.5542,2.1945812346473397
KOR,1999,2123.5675439999995,989793711154.3276,2.1454647772245696
KOR,2000,2245.9129010000006,1079477269584.1978,2.0805559915727545
KOR,2001,2300.1192344,1131857819988.0796,2.0321626919750613
KOR,2002,2406.0903820000003,1219295451465.6428,1.973344835419325
KOR,2003,2483.297597,1257670229835.2214,1.974522047266205
KOR,2004,2541.3552520000003,1323036273738.766,1.9208507751782105
KOR,2005,2627.45947,1380039856716.0012,1.9039011498207081
KOR,2006,2670.581063,1452689661910.1094,1.838369978821569
KOR,2007,2750.528259,1536939102172.7532,1.7896143413305121
KOR,2008,2796.213894,1583246844825.5457,1.7661263012389634
KOR,2009,2811.5906480000003,1595797226566.0564,1.7618721233462538
