Code,Year,ConsumptionTotal,Population,PerCapitaConsumption
ESP,2006,1807.1999700000001,44422830.99999998,40.681782977766574
ESP,2007,1846.8264,45245782.00000001,40.81764793014296
ESP,2008,1795.81494,45966538.0,39.06787454822027
ESP,2009,1664.8059500000004,46367772.000000015,35.9043766433289
ESP,2010,1709.8823049999999,46572772.50000001,36.71420474269595
ESP,2011,1677.6293200000002,46729232.5,35.901067281599374
ESP,2012,1668.3258799999999,46756081.5,35.68147343570696
ESP,2013,1584.89083,46603459.0,34.008008504261454
ESP,2014,1555.55113,46464551.00000001,33.47823440712899
ESP,2015,1574.9621499999998,46431342.0,33.92023754127115
ESP,2016,1589.9742899999999,46473315.00000001,34.21262911845216
ESP,2017,1608.1109800000002,46584169.49999999,34.520546298458754
ESP,2018,1637.0802199999998,46792043.0,34.986294998916804
ESP,2019,1591.3843200000001,47131372.00000001,33.76486303008535
ESP,2020,1439.4470860000001,47363806.99999999,30.391287718911624
ESP,2021,1542.928777,47486934.99999999,32.49164800802579
ESP,2022,1598.6991739999999,47558629.5,33.61533313318038
EST,1985,118.452609,1525781.9999999998,77.63403225362471
EST,1986,117.882853,1536023.0000000005,76.7454999046238
EST,1987,119.666347,1547705.5,77.31855123600711
EST,1988,117.63286399999998,1559586.0000000005,75.42569887136712
EST,1989,121.225047,1568047.4999999998,77.30955025278253
EST,1990,127.570502,1570673.9999999998,81.22022902269983
EST,1991,116.73208699999998,1565627.0,74.5593216008666
EST,1992,81.387986,1540381.5,52.83625257768936
EST,1993,67.586924,1504435.5000000005,44.92510579549604
EST,1994,68.5388026,1475727.0,46.44409338583627
EST,1995,62.165733222,1452775.0000000002,42.79102629244032
EST,1996,66.012533727,1434670.0000000002,46.01234689998397
EST,1997,65.027553638,1421490.0000000005,45.74605072001912
EST,1998,58.33113139,1411146.4999999995,41.33598559044013
EST,1999,53.736972554999994,1403498.4999999998,38.28787316480923
EST,2000,55.48695975000001,1396876.5,39.72216566747312
EST,2001,57.842793246,1387994.4999999998,41.67364729903469
EST,2002,57.60587597000001,1379239.9999999998,41.76639016414838
EST,2003,62.82409823,1370660.4999999995,45.834908228551136
EST,2004,64.10208279,1362480.5,47.04807356141978
EST,2005,64.46617837000001,1354662.0,47.588386158318464
EST,2006,63.6812202,1346709.4999999998,47.28653076257352
EST,2007,73.75527774,1340574.5000000005,55.017664247678866
EST,2008,67.8539862,1337011.0,50.75050706389102
EST,2009,58.717309699999994,1334551.5000000005,43.997784798863115
EST,2010,73.14867550000001,1331535.0,54.935601016871516
EST,2011,72.9633815,1327429.0000000002,54.96593904457412
EST,2012,73.48275100000001,1322682.0000000002,55.55587132810456
EST,2013,77.46261949999999,1317981.5,58.77367739987245
EST,2014,74.15771730000002,1314526.0,56.414036162084294
EST,2015,68.619947,1314656.5,52.19610369704938
EST,2016,70.76303460000001,1315925.4999999998,53.774347103996405
EST,2017,78.48455200000001,1317548.5,59.56862460850588
EST,2018,77.87433200000001,1322147.5,58.89988219922513
EST,2019,62.7627585,1327038.5,47.29535616336677
EST,2020,58.78594699999999,1329444.0000000002,44.21844545539337
EST,2021,61.62568300000001,1328701.0000000007,46.38039935245023
EST,2022,61.668425,1326062.0,46.50493340432046
ETH,2000,0.0,67031867.49999999,0.0
ETH,2001,0.0,69018932.50000001,0.0
ETH,2002,0.0,71073214.5,0.0
ETH,2003,0.0,73168838.50000004,0.0
ETH,2004,0.0,75301025.49999999,0.0
ETH,2005,0.0,77469940.5,0.0
ETH,2006,0.0,79691050.0,0.0
ETH,2007,0.0,81996184.50000001,0.0
ETH,2008,0.0,84357104.49999997,0.0
ETH,2009,0.0,86755585.00000001,0.0
ETH,2010,0.0,89237790.5,0.0
ETH,2011,0.0,91817929.5,0.0
ETH,2012,0.0,94451279.50000001,0.0
ETH,2013,0.0,97084366.0,0.0
ETH,2014,0.0,99746766.5,0.0
ETH,2015,0.0,102471895.50000004,0.0
ETH,2016,0.0,105293228.50000004,0.0
ETH,2017,0.0,108197949.50000001,0.0
ETH,2018,0.0,111129438.0,0.0
ETH,2019,0.0,114120593.49999996,0.0
ETH,2020,0.0,117190911.0,0.0
ETH,2021,0.0,120283025.99999999,0.0
FIN,1965,115.40360299999999,4564583.500000001,25.28239498740684
FIN,1966,131.36514300000002,4581786.5,28.67116200198329
FIN,1967,138.252184,4607107.500000001,30.008456281951304
FIN,1968,150.03086,4627785.0,32.41958301865795
FIN,1969,164.920468,4624397.0,35.663129268529495
FIN,1970,181.70852200000002,4606621.0,39.445077422258095
FIN,1971,186.581376,4612424.0,40.451913354019496
FIN,1972,196.710648,4639831.0,42.396080374479155
FIN,1973,216.778522,4666165.5,46.45752963541477
FIN,1974,207.9393227,4690576.0,44.331298053799784
FIN,1975,211.251298,4711368.000000001,44.83863243117497
FIN,1976,224.039867,4725517.999999998,47.410647256025705
FIN,1977,236.942099,4738738.5,50.00109185176604
FIN,1978,245.921193,4752400.0,51.746737017086105
FIN,1979,265.846283,4764567.499999999,55.796519411258224
FIN,1980,264.662746,4779418.0,55.37551768855539
FIN,1981,267.2303423,4799865.499999997,55.67454802639786
FIN,1982,263.89351639999995,4826861.000000001,54.671869854963695
FIN,1983,261.3664695,4855733.0,53.82636761535282
FIN,1984,272.3400577,4881747.5,55.78741172090527
FIN,1985,285.741128,4902174.999999999,58.288642898305355
FIN,1986,289.026601,4918172.499999998,58.767072728742264
FIN,1987,304.29982900000005,4932176.500000001,61.696865268304975
FIN,1988,302.308624,4946561.500000001,61.114902543918625
FIN,1989,303.613634,4964474.5,61.157255214021134
FIN,1990,323.248921,4986545.000000001,64.82422619268449
FIN,1991,330.757886,5013853.999999999,65.96879087424566
FIN,1992,329.675118,5042121.0,65.38421390521965
FIN,1993,332.510808,5066605.000000001,65.62793191890822
FIN,1994,349.05575000000005,5088489.999999999,68.59711820205996
FIN,1995,332.727395,5107942.999999999,65.13921455270743
FIN,1996,347.47876299999996,5124718.5,67.8044585278196
FIN,1997,352.38077999999996,5139942.499999998,68.55733891964746
FIN,1998,364.244389,5153544.5,70.67842123028142
FIN,1999,357.14920200000006,5165491.0,69.14138501064082
FIN,2000,359.109786,5176209.0,69.37698728934632
FIN,2001,366.893646,5188002.5,70.71963554373768
FIN,2002,368.76807899999994,5200595.500000001,70.90881784595628
FIN,2003,394.927689,5212989.000000001,75.75839676623141
FIN,2004,393.25395000000003,5228141.0,75.21869628229231
FIN,2005,357.547645,5246070.999999999,68.15531947623279
FIN,2006,383.51222900000005,5266250.499999999,72.8245321790143
FIN,2007,382.19241,5288689.0,72.26600202810187
FIN,2008,368.49552399999993,5313350.5,69.35276037219828
FIN,2009,341.28769,5338815.000000001,63.92573820220403
FIN,2010,371.29062,5363271.500000001,69.22838420542386
