Code,Year,Entity,Population,GDP_2010_dolar,GDP_PPP_2010_dolar,Consumption
BGD,1971,Bangladesh,68376204.0,0.0,0.0,13.40687984
BGD,1972,Bangladesh,69346705.0,0.0,0.0,15.190602440000001
BGD,1973,Bangladesh,71144818.0,0.0,0.0,19.4802533
BGD,1974,Bangladesh,72947807.0,0.0,0.0,20.74655036
BGD,1975,Bangladesh,74700345.0,0.0,0.0,21.3311088
BGD,1976,Bangladesh,76380080.0,0.0,0.0,24.8930121
BGD,1977,Bangladesh,78137788.0,0.0,0.0,25.4382101
BGD,1978,Bangladesh,80007550.0,0.0,0.0,27.0239243
BGD,1979,Bangladesh,81908151.0,0.0,0.0,29.794897900000002
BGD,1980,Bangladesh,83929765.0,0.0,111258479102.95616,34.750381499999996
BGD,1981,Bangladesh,86154836.0,55324707948.244,116587051756.0074,36.839693200000006
BGD,1982,Bangladesh,88555336.0,48782019147.08442,120309557876.41428,40.6413478
BGD,1983,Bangladesh,91045478.0,45778897133.22092,126703721753.79428,40.1901925
BGD,1984,Bangladesh,93534239.0,49238829426.03072,131122413904.60793,43.44252253
BGD,1985,Bangladesh,95959099.0,51097327088.21233,135513907884.46529,48.27410416
BGD,1986,Bangladesh,98271746.0,51585872796.93486,141107000766.2835,52.53657566
BGD,1987,Bangladesh,100490256.0,54512750000.0,143661230769.23077,57.984547
BGD,1988,Bangladesh,102688833.0,56321687500.0,146222984375.0,64.5763716
BGD,1989,Bangladesh,104893674.0,58583971544.715454,151185437669.3767,69.61424759999998
BGD,1990,Bangladesh,107147651.0,59946926735.218506,155626910025.70694,73.8564024
BGD,1991,Bangladesh,109242834.0,59533872917.95188,160931114127.08203,71.2546085
BGD,1992,Bangladesh,111272102.0,58880720958.08384,167440747305.38925,77.7105521
BGD,1993,Bangladesh,113418757.0,57685988372.09303,173620033720.93027,85.43575694
BGD,1994,Bangladesh,115614891.0,59793485260.77098,180708828798.18597,90.69007493
BGD,1995,Bangladesh,117793338.0,64911235942.66814,187969321940.46307,107.1086243
BGD,1996,Bangladesh,119876868.0,67415926124.19701,195197240899.35764,112.2024589
